L1 Glitch Category,Word A,Word B,Phonemic Shift,Meaning (A / B),Catastrophe Index,Native Hardware Glitch,Frequency of Occurrence,Phonetic Proximity,Informal Sentence A,Informal Sentence B
Terminal Devoicing,روز,روس,Final /z/ vs. /s/,Day / Russian,High,Critical,High,High,امروز روز خوبیه,اون یارو روسه؟
Terminal Devoicing,ساز,ساس,Final /z/ vs. /s/,Instrument / Bedbug,High,Critical,Medium,High,قشنگ ساز میزنه,تو تختم ساس پیدا کردم!
Terminal Devoicing,کارد,کارت,Final /d/ vs. /t/,Knife / Card,Low,High,Medium,High,این کارد اصلا تیز نیست,کارت بانکیم رو میزه
Terminal Devoicing,باد,بات,Final /d/ vs. /t/,Wind / Bot,Low,High,Medium,High,امروز خیلی باد میاد,این یه بات تلگرامه
The Affricate Void,چاه,شاه,Initial /tʃ/ vs. /ʃ/,Water well / King,High,Critical,Medium,High,بدبخت افتاد تو چاه,شاه خیلی وقته رفته
The Affricate Void,ماچ,ماش,Final /tʃ/ vs. /ʃ/,Kiss / Mung bean,High,High,Low,High,بیا یه ماچ بده,امشب آش ماش داریم
The Affricate Void,چنگ,جنگ,Initial /tʃ/ vs. /dʒ/,Harp / War,High,Critical,Medium,High,گربه هه بهم چنگ زد,میگن تو اون کشور جنگ شده
The Affricate Void,جان,شان,Initial /dʒ/ vs. /ʃ/,Soul / Status,High,Critical,High,Medium,مامان جان بیا اینجا,این کار در شان تو نیست
The Guttural Blur,خالی,قالی,Initial /x/ vs. /q/,Empty / Persian Rug,Medium,Critical,High,High,لیوانت خالیه؟,این قالی خیلی گرونه
The Guttural Blur,خواب,قاب,Initial /x/ vs. /q/,Sleep / Frame,High,Critical,High,High,خوابم میاد,عکسو بذار تو قاب
The Guttural Blur,خار,غار,Initial /x/ vs. /q/,Thorn / Cave,Medium,High,Low,High,خار رفت تو پام,خرس تو غار خوابیده
Uvular vs. Velar Stop,قند,کند,Initial /q/ vs. /k/,Sugar cube / Dug,Medium,High,High,Medium,چای رو با قند بخور,درختو از ریشه کند
Uvular vs. Velar Stop,قله,کله,Initial /q/ vs. /k/,Peak / Head,Medium,High,Medium,Medium,رسیدیم نک قله,کلم درد میکنه
The Missing "G",گور,کور,Initial /g/ vs. /k/,Grave / Blind,High,High,Medium,High,پاش لب گوره,مگه کوری؟ نمیبینی؟
The Missing "G",گام,کام,Initial /g/ vs. /k/,Step / Palate,Low,High,Medium,High,گام بعدی چیه؟,یه کام از سیگار گرفت
The Missing "G",گُل,کُل,Initial /g/ vs. /k/,Flower / All,Medium,High,High,High,این گلو برات خریدم,کل پولم تموم شد
Initial "V" Devoicing,وام,فام,Initial /v/ vs. /f/,Loan / Color,Low,High,Medium,High,بانک بهم وام نداد,فام این رنگ خیلی تیره‌ست
Initial "V" Devoicing,وال,فال,Initial /v/ vs. /f/,Whale / Fortune,High,High,Low,High,تو دریا یه وال دیدیم,بیا برات فال بگیرم
Short Vowel Mash-up,سَر,سِر,Medial /a/ vs. /e/,Head / Secret,Medium,Critical,High,High,سرم خیلی شلوغه,این یه سره بین ما
Short Vowel Mash-up,زَر,زِر,Medial /a/ vs. /e/,Gold / Nonsense,High,Critical,Medium,High,فقط زر و زیور دوست داره,انقد زر نزن!
Terminal Devoicing,راز,راس,Final /z/ vs. /s/,Secret / Head,Medium,Critical,High,High,راستو به هیچکی نمیگم,راس ساعت هشت اونجام
Terminal Devoicing,صد,سطح,Final /d/ vs. /t/,Hundred / Surface,Medium,High,High,High,صد تومان بهت میدم,سطح آب بالا اومده
The Affricate Void,چای,جای,Initial /tʃ/ vs. /dʒ/,Tea / Place,High,Critical,High,High,یه استکان چای میریزی؟,جای تو اینجا خالیه
The Affricate Void,چاق,شاق,Initial /tʃ/ vs. /ʃ/,Fat / Tough,High,Critical,Medium,High,خیلی چاق شدی!,این کار شاقی نیست
The Guttural Blur,خر,قر,Initial /x/ vs. /q/,Donkey / Grumbling,High,Critical,High,High,خر نشو توروخدا!,انقد قر نزن دیگه!
The Guttural Blur,خل,قل,Initial /x/ vs. /q/,Crazy / Twin,High,Critical,Medium,High,یارو خل شده,داداشم قل منه
The Missing "G",گوش,کوش,Initial /g/ vs. /k/,Ear / Where is it?,Medium,High,High,High,گوشم درد میکنه,کوش پس؟ پیداش نمیکنم
The Missing "G",رگ,رک,Final /g/ vs. /k/,Vein / Frank,Low,High,Medium,High,رگم گرفته,یارو خیلی رک حرف میزنه
Initial "V" Devoicing,ورز,فرض,Initial /v/ vs. /f/,Sport / Assumption,Low,High,Medium,High,خمیرو خوب ورز بده,فرض کن من رفتم
Short Vowel Mash-up,بَر,بُر,Medial /a/ vs. /o/,Upon / Cut,Low,Critical,High,High,بر و بازوش خوبه,پاسورو بر بزن
