L1 Glitch Category,Word A,Word B,Phonemic Shift,Meaning (A / B),Catastrophe Index,Native Hardware Glitch,Frequency of Occurrence,Phonetic Proximity,Informal Sentence A (German),Informal Sentence B (German)
Front Rounded Vowels,schon,schön,/oː/ vs /øː/,Already / Beautiful,High,Critical,High,High,"Ich war schon da.","Das Wetter ist heute sehr schön."
Front Rounded Vowels,schwul,schwül,/uː/ vs /yː/,Gay / Humid,Critical,Critical,Medium,High,"Er ist schwul.","Es ist heute extrem schwül."
Front Rounded Vowels,Tier,Tür,/iː/ vs /yː/,Animal / Door,Low,Critical,High,High,"Dieses Tier ist gefährlich.","Mach bitte die Tür zu."
Front Rounded Vowels,kennen,können,/ɛ/ vs /œ/,To know (a person) / To be able to,Medium,Critical,High,High,"Ich kenne ihn sehr gut.","Wir können heute gehen."
Front Rounded Vowels,Helle,Hölle,/ɛ/ vs /œ/,Brightness / Hell,High,Critical,Low,High,"Die Helle blendet meine Augen.","Das hier ist genau wie die Hölle."
Front Rounded Vowels,vier,für,/iː/ vs /yː/,Four / For,Low,Critical,High,High,"Ich habe vier Brüder.","Dieses Geschenk ist für dich."
Front Rounded Vowels,drucken,drücken,/ʊ/ vs /ʏ/,To print / To press,Medium,Critical,Medium,High,"Ich muss dieses Blatt drucken.","Drück diesen roten Knopf."
Front Rounded Vowels,fordern,fördern,/ɔ/ vs /œ/,To demand / To support,Low,Critical,Medium,High,"Sie fordern mehr Geld.","Der Staat fördert die Kunst."
Front Rounded Vowels,Küste,Kiste,/ʏ/ vs /ɪ/,Coast / Box,Low,Critical,Medium,High,"Morgen fahren wir an die Küste.","Diese Kiste ist sehr schwer."
Ich-Laut vs Sh,Kirche,Kirsche,/ç/ vs /ʃ/,Church / Cherry,High,High,High,Medium,"Die Kirche ist sonntags offen.","Diese Kirsche ist sehr süß."
Ich-Laut vs Sh,mich,misch,/ç/ vs /ʃ/,Me (Accusative) / Mix (Imperative),Medium,High,High,Medium,"Er hat mich auf der Straße gesehen.","Misch den Teig gut durch."
The Missing Affricate (ts),Zahl,Saal,/ts/ vs /z/,Number / Hall,Medium,High,High,Medium,"Das ist meine Glückszahl.","Der Saal war voller Menschen."
The Missing Affricate (ts),Zeh,See,/ts/ vs /z/,Toe / Lake,Low,High,Medium,Medium,"Mein Zeh tut sehr weh.","Das Wasser im See ist sehr sauber."
The Missing Affricate (ts),reizen,reißen,/ts/ vs /s/,To irritate / To tear,Medium,High,Low,Medium,"Diese Medizin reizt mein Auge.","Reiß das Papier nicht kaputt."
The Missing Pf,Pfand,fand,/pf/ vs /f/,Deposit / Found,Medium,Medium,Medium,High,"Auf diese Flasche gibt es Pfand.","Er fand endlich seinen Schlüssel."
The Missing Pf,Pfeil,Feil,/pf/ vs /f/,Arrow / File (Imperative),Low,Medium,Low,High,"Schieß den Pfeil aufs Ziel.","Feil deinen Nagel."
Vowel Length,Miete,Mitte,/iː/ vs /ɪ/,Rent / Middle,High,High,High,High,"Die Miete ist dieses Jahr gestiegen.","Komm, setz dich in die Mitte."
Vowel Length,Beet,Bett,/eː/ vs /ɛ/,Garden bed / Bed,Medium,High,Medium,High,"Ich habe Rosen ins Beet gepflanzt.","Ich bin müde, ich gehe ins Bett."
Vowel Length,Staat,Stadt,/aː/ vs /a/,State (Country) / City,High,High,High,High,"Die Gesetze in diesem Staat sind streng.","Diese Stadt ist sehr laut."
Vowel Length,wen,wenn,/eː/ vs /ɛ/,Whom / If,Medium,High,High,High,"Wen hast du gestern gesehen?","Ich freue mich, wenn du kommst."
Vowel Length,Ofen,offen,/oː/ vs /ɔ/,Oven / Open,Medium,High,Medium,High,"Die Pizza ist noch im Ofen.","Das Fenster im Zimmer ist offen."
Vowel Length,Bahn,Bann,/aː/ vs /a/,Train / Spell (Ban),Low,High,High,High,"Wir reisen mit der Bahn.","Er steht unter einem dunklen Bann."
Vowel Length,bieten,bitten,/iː/ vs /ɪ/,To offer / To request,Medium,High,High,High,"Ich biete hundert Euro.","Ich bitte dich, geh nicht."
Vowel Length,kam,Kamm,/aː/ vs /a/,Came / Comb,Low,High,Medium,High,"Er kam gestern zu uns nach Hause.","Wo ist mein Kamm?"
Vowel Length,Heer,Herr,/eː/ vs /ɛ/,Army / Mister (Gentleman),Medium,High,Low,High,"Er dient im deutschen Heer.","Kennst du den Herrn dort?"
